hour,day,month,dayofweek,gen_lag_1,gen_lag_24
2,1,2,0,29.0,0.0
3,1,2,0,29.0,0.0
4,1,2,0,29.0,0.0
5,1,2,0,29.0,0.0
6,1,2,0,29.0,97.0
7,1,2,0,147.0,769.0
8,1,2,0,1490.0,2587.0
9,1,2,0,3334.0,3672.0
10,1,2,0,4578.0,4033.0
11,1,2,0,5296.0,4082.0
12,1,2,0,5712.0,3893.0
13,1,2,0,5632.0,3776.0
14,1,2,0,4678.0,2148.0
15,1,2,0,2951.0,585.0
16,1,2,0,833.0,39.0
17,1,2,0,44.0,29.0
18,1,2,0,29.0,29.0
19,1,2,0,29.0,29.0
20,1,2,0,29.0,29.0
21,1,2,0,29.0,29.0
22,1,2,0,29.0,29.0
23,1,2,0,29.0,29.0
0,2,2,1,0.0,29.0
1,2,2,1,0.0,29.0
2,2,2,1,0.0,29.0
3,2,2,1,0.0,29.0
4,2,2,1,0.0,29.0
5,2,2,1,0.0,29.0
6,2,2,1,0.0,147.0
7,2,2,1,116.0,1490.0
8,2,2,1,1223.0,3334.0
9,2,2,1,2490.0,4578.0
10,2,2,1,3395.0,5296.0
11,2,2,1,4032.0,5712.0
12,2,2,1,4236.0,5632.0
13,2,2,1,4120.0,4678.0
14,2,2,1,3510.0,2951.0
15,2,2,1,2256.0,833.0
16,2,2,1,638.0,44.0
17,2,2,1,42.0,29.0
18,2,2,1,29.0,29.0
19,2,2,1,29.0,29.0
20,2,2,1,29.0,29.0
21,2,2,1,29.0,29.0
22,2,2,1,29.0,29.0
23,2,2,1,29.0,0.0
0,3,2,2,0.0,0.0
1,3,2,2,0.0,0.0
2,3,2,2,0.0,0.0
3,3,2,2,0.0,0.0
4,3,2,2,0.0,0.0
5,3,2,2,0.0,0.0
6,3,2,2,0.0,116.0
7,3,2,2,92.0,1223.0
8,3,2,2,890.0,2490.0
9,3,2,2,1855.0,3395.0
10,3,2,2,2759.0,4032.0
11,3,2,2,2932.0,4236.0
12,3,2,2,2975.0,4120.0
13,3,2,2,2950.0,3510.0
14,3,2,2,2805.0,2256.0
15,3,2,2,1923.0,638.0
16,3,2,2,608.0,42.0
17,3,2,2,43.0,29.0
18,3,2,2,29.0,29.0
19,3,2,2,29.0,29.0
20,3,2,2,29.0,29.0
21,3,2,2,29.0,29.0
22,3,2,2,29.0,29.0
23,3,2,2,29.0,0.0
0,4,2,3,0.0,0.0
1,4,2,3,0.0,0.0
2,4,2,3,0.0,0.0
3,4,2,3,0.0,0.0
4,4,2,3,0.0,0.0
5,4,2,3,0.0,0.0
6,4,2,3,0.0,92.0
7,4,2,3,56.0,890.0
8,4,2,3,1262.0,1855.0
9,4,2,3,3685.0,2759.0
10,4,2,3,5588.0,2932.0
11,4,2,3,6194.0,2975.0
12,4,2,3,7269.0,2950.0
13,4,2,3,7320.0,2805.0
14,4,2,3,5915.0,1923.0
15,4,2,3,3993.0,608.0
16,4,2,3,1116.0,43.0
17,4,2,3,61.0,29.0
